akansha_angry,akansha_neutral,arzoo_angry,arzoo_neutral,emily_angry,emily_neutral,isha_angry,isha_neutral,lorelai_angry,mompatil_angry_2,mompatil_neutral,olivia_angry,olivia_neutral,pallavi_angry,pallavi_neutral,paris_angry,paris_neutral,pdb_angry,pdb_neutral,pooja_angry,pooja_neutral,pritha_angry,pritha_neutral,sayalee_angry,sayalee_neutral,tanvi_angry,tanvi_neutral,young_angry,young_neutral,angry_woman,neutral_woman
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Neutral,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Noise,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Hybrid,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Hybrid,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Hybrid,Angry,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Hybrid,Hybrid,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Hybrid,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,Noise,Hybrid,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Silence,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,,Silence,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,,,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,Angry,Hybrid,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Silence,Neutral,Angry,,,Angry,Neutral,Hybrid,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,Silence,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,Silence,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Hybrid,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Neutral,Angry,Hybrid,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Noise,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Neutral,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,Hybrid,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,Hybrid,Hybrid,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,Hybrid,Angry,Neutral,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,Silence,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,Silence,Hybrid,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Silence,Hybrid,Neutral,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Silence,Hybrid,Hybrid,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Silence,Hybrid,Hybrid,Hybrid,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,Silence,Hybrid,Hybrid,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,Angry,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,,Silence,Angry,Noise,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,,Silence,Angry,Noise,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,Neutral,Hybrid,Neutral,Angry,,,Angry,Neutral,,,Angry,Noise,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Hybrid,Neutral,Angry,,,Angry,Neutral,,,Angry,Noise,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Hybrid,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Hybrid,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Angry,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Angry,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,Hybrid,Angry,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Angry,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Hybrid,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Hybrid,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Noise,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Hybrid,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Hybrid,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Noise,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Angry,Hybrid,,Neutral,Angry,Neutral,Angry,,,Angry,Neutral,,,Noise,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Hybrid,Neutral,,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Hybrid,Hybrid,Neutral,,Neutral,Angry,Neutral,Hybrid,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Hybrid,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Hybrid,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Hybrid,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Hybrid,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Hybrid,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Hybrid,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Angry,Neutral,Hybrid,Neutral,,Neutral,Angry,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Hybrid,Neutral,,Neutral,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Neutral,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,Neutral,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Hybrid,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Neutral,Neutral,,Neutral,Angry,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,,
Hybrid,Neutral,Hybrid,Neutral,,Neutral,Hybrid,Neutral,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Hybrid,Neutral,,Neutral,Hybrid,Hybrid,,,,Hybrid,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Hybrid,Neutral,,Neutral,Hybrid,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Hybrid,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Hybrid,Neutral,Angry,Neutral,,Neutral,Noise,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Hybrid,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Hybrid,Hybrid,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
Angry,Neutral,Angry,Neutral,,Neutral,Hybrid,Neutral,,,,Angry,Neutral,,,,,Angry,Neutral,Angry,Neutral,Neutral,Hybrid,Angry,Neutral,Neutral,Neutral,Angry,Neutral,,
